Multithreaded Web Crawler Started - Query: 'Stephen'
Number of threads: 20
Start Time: 2025-09-30 09:18:46
================================================================================
URL                                                Size     Time                 Code   Priority   Domain P.  Depth 
================================================================================

Fetching seed URLs for query: 'Stephen'
Found 10 seed URLs
https://stackoverflow.co/company/press/index.html  87925    2025-09-30 09:18:55  200    9.8658     9.9658     1     
https://superuser.com/questions/1925785/recover-te 179294   2025-09-30 09:18:55  200    9.8658     9.9658     1     
https://electronics.stackexchange.com/questions/75 173715   2025-09-30 09:18:55  200    9.8658     9.9658     1     
https://stackoverflow.co/advertising/employer-bran 81154    2025-09-30 09:18:55  200    9.8658     9.9658     1     
https://travel.stackexchange.com/questions/200321/ 181439   2025-09-30 09:18:55  200    9.8658     9.9658     1     
https://stackexchange.com/index.html               0        2025-09-30 09:18:56  404    9.8658     9.9658     1     
https://policies.stackoverflow.co/stack-overflow/c 48275    2025-09-30 09:18:56  200    9.8658     9.9658     1     
https://api.stackexchange.com/index.html           0        2025-09-30 09:18:56  400    9.8658     9.9658     1     
https://stackoverflow.blog/index.html?blb=1        170871   2025-09-30 09:18:56  200    9.8658     9.9658     1     
https://codemanship.wordpress.com/2025/09/30/compr 0        2025-09-30 09:18:57  404    9.8658     9.9658     1     
https://www.jefftk.com/p/pasta-cooking-time        26847    2025-09-30 09:18:57  200    9.8658     9.9658     1     
https://lwn.net/Articles/1040120/index.html        0        2025-09-30 09:18:57  404    9.8658     9.9658     1     
https://ryansouthgate.com/goodbye-disqus/index.htm 10587    2025-09-30 09:18:58  200    9.8658     9.9658     1     
https://shkspr.mobi/blog/2025/09/can-you-use-gdpr- 0        2025-09-30 09:18:58  404    9.8658     9.9658     1     
https://airgoods.com/careers?utm_source=hacker_new 7482     2025-09-30 09:18:59  200    9.8658     9.9658     1     
https://www.potaroo.net/ispcol/2025-09/starlinkgeo 32416    2025-09-30 09:19:00  200    9.8658     9.9658     1     
https://weliveindetail.github.io/blog/post/2025/09 40659    2025-09-30 09:19:00  200    9.8658     9.9658     1     
https://eupl.eu/index.html                         0        2025-09-30 09:19:01  404    9.8658     9.9658     1     
https://dl.acm.org/doi/10.1145/359024.359031       0        2025-09-30 09:19:01  403    9.8658     9.9658     1     
https://archive.arstechnica.com/archive/1998/crypt 14804    2025-09-30 09:19:01  200    9.8658     9.9658     1     
https://devbox.ar0.eu/                             30862    2025-09-30 09:19:01  200    9.8658     9.9658     1     
https://ssg.dev/safe-zero-copy-operations-in-c/ind 0        2025-09-30 09:19:02  404    9.8658     9.9658     1     
https://www.express.co.uk/news/uk/2115228/image-si 171541   2025-09-30 09:19:02  200    9.8658     9.9658     1     
https://www.abs-lang.org/index.html                16182    2025-09-30 09:19:02  200    9.8658     9.9658     1     
https://loadmo.re/index.html                       0        2025-09-30 09:19:03  404    9.8658     9.9658     1     
